33.63,8.78
33.49,7.13
29.40,8.78
26.54,6.03
27.43,6.58
29.03,6.58
26.94,7.13
25.20,9.32
24.34,7.68
26.80,6.03
25.89,8.23
25.00,7.13
25.34,6.58
24.37,8.78
25.69,4.94
23.66,7.13
25.40,6.03
24.34,6.03
24.97,8.23
22.71,7.13
22.54,8.78
24.51,4.94
20.00,6.03
22.46,6.58
21.83,6.03
22.06,4.39
23.91,6.58
20.11,7.13
18.74,7.13
20.94,7.13
18.66,6.03
19.09,6.03
12.83,8.78
18.03,3.84
18.34,6.58
19.71,5.48
17.80,7.13
12.77,6.58
15.66,8.23
13.29,6.03
13.49,6.03
11.11,3.29
16.26,8.23
-51.74,31.81
-50.89,30.17
-51.43,26.33
-49.86,31.26
-50.34,31.81
-51.91,32.91
-49.51,31.26
-50.97,30.72
-50.29,34.01
-50.94,34.01
-49.66,35.65
-50.03,34.01
-49.20,34.56
-49.77,32.91
-49.46,32.36
-49.14,33.46
-49.37,31.26
-48.69,34.01
-49.06,34.01
-47.91,33.46
-48.03,34.56
-48.43,37.30
-47.66,37.85
-46.89,39.49
-46.63,37.85
-44.89,38.39
-44.91,38.39
-41.97,37.30
-42.83,40.59
-38.60,42.78
-28.60,35.10
35.37,10.97
40.54,10.97
27.83,11.52
34.11,9.87
32.60,10.42
31.49,10.42
30.57,7.13
32.23,8.23
30.40,7.13
30.74,7.68
27.14,7.68
27.00,7.13
24.54,7.68
23.46,7.13
25.06,8.78
26.60,6.58
25.89,8.78
24.37,5.48
22.63,8.23
24.51,5.48
24.31,6.58
23.06,8.78
24.69,8.78
22.69,7.13
24.60,7.68
24.20,8.78
20.26,5.48
20.20,8.78
24.20,6.58
22.06,7.13
20.31,7.13
21.17,4.39
21.17,8.23
21.34,6.58
21.80,5.48
19.94,4.39
21.00,4.39
17.31,7.68
14.29,7.13
17.09,5.48
19.97,5.48
19.31,6.58
18.49,5.48
17.60,2.74
15.83,6.03
13.31,6.03
15.57,5.48
15.69,9.32
13.09,4.39
-9.17,5.48
-52.06,29.07
-51.40,27.97
-50.34,32.91
-51.20,30.72
-50.26,30.72
-50.40,30.72
-48.97,32.91
-51.20,32.91
-50.74,32.36
-49.83,37.30
-50.29,30.72
-49.63,33.46
-49.80,35.65
-50.46,32.36
-49.63,35.10
-50.11,32.36
-49.91,35.65
-49.80,34.01
-49.40,36.75
-47.94,36.75
-48.06,36.75
-47.83,35.10
-47.51,32.91
-46.77,45.53
-43.71,36.20
-43.83,42.23
-43.94,38.94
-43.29,43.33
-13.54,29.07
40.43,9.32
41.86,12.07
32.74,9.32
35.06,8.23
33.89,7.68
30.29,8.23
27.46,9.87
32.37,8.78
30.11,8.23
31.29,6.03
28.09,7.68
24.74,4.94
28.00,7.68
27.71,7.68
26.74,6.58
24.54,9.32
27.60,6.03
24.49,7.13
25.63,8.23
26.89,8.23
24.54,5.48
23.34,8.78
23.14,6.03
24.11,4.94
21.51,7.13
22.17,8.78
23.63,5.48
23.03,6.03
22.57,3.84
21.54,6.58
21.91,5.48
21.29,6.03
21.40,5.48
18.57,8.23
17.17,4.39
18.20,7.68
18.14,4.94
19.23,5.48
17.66,8.78
17.40,7.13
13.91,8.23
16.06,7.13
17.49,7.13
13.29,3.84
16.63,5.48
14.66,6.03
12.03,6.03
18.66,4.39
12.14,7.13
-51.83,30.17
-53.00,28.52
-52.34,26.33
-52.60,36.20
-51.40,32.36
-51.43,32.91
-51.29,30.72
-51.74,30.72
-50.29,32.91
-51.74,29.62
-49.94,34.56
-50.71,36.20
-50.63,33.46
-50.97,34.56
-50.69,34.01
-50.09,36.20
-50.80,30.72
-49.94,34.56
-50.54,35.65
-49.09,33.46
-48.74,32.91
-48.26,36.20
-48.54,36.75
-46.46,38.39
-46.31,41.14
-45.69,41.14
-43.11,44.43
-45.66,42.23
-44.06,48.27
-40.57,44.98
39.51,13.16
40.14,12.62
36.43,9.32
30.91,9.87
32.97,8.78
34.00,7.68
30.51,8.23
32.43,8.78
30.69,9.32
29.54,6.58
31.03,9.32
29.91,7.68
25.49,8.23
27.83,7.13
24.86,6.03
26.94,6.58
24.91,6.58
23.89,6.58
23.46,7.13
25.20,6.58
25.20,4.94
26.03,10.42
23.03,9.32
23.40,6.03
25.00,8.23
23.14,7.13
22.09,7.68
19.51,7.13
18.83,4.39
20.89,8.23
23.89,5.48
22.57,7.68
20.80,6.58
21.29,5.48
22.17,6.58
20.06,6.03
19.03,3.84
17.23,5.48
18.03,5.48
18.26,3.29
19.63,6.03
19.29,2.19
