-30.29,22.49
-29.94,21.39
-27.46,21.39
-28.60,23.04
-27.17,22.49
-25.71,20.29
31.77,7.13
27.60,7.68
29.14,6.03
28.23,7.13
27.60,8.23
28.46,7.13
27.37,7.13
27.83,7.13
27.46,5.48
27.46,7.13
28.17,7.13
25.66,7.68
26.14,6.58
27.54,6.58
26.77,7.13
25.77,6.03
25.69,5.48
24.74,6.58
24.03,5.48
24.74,6.03
23.71,5.48
23.94,6.03
23.00,5.48
24.43,4.39
25.20,4.94
21.11,6.03
22.06,4.39
21.89,4.94
19.94,6.03
20.11,4.39
21.69,5.48
20.06,5.48
21.86,4.94
19.20,4.94
21.31,4.94
17.43,4.39
19.49,4.39
16.17,4.39
18.17,4.94
18.91,4.94
16.97,6.03
16.11,4.39
17.11,5.48
16.34,4.39
14.89,4.39
16.20,3.84
11.17,5.48
11.86,4.94
14.57,3.84
15.49,4.94
14.29,4.94
11.69,3.84
10.89,4.39
13.09,3.29
9.66,6.58
10.11,5.48
7.97,4.94
-22.86,9.32
-36.80,17.55
-36.31,16.45
-36.06,15.36
-35.51,17.55
-35.94,17.00
-35.37,18.10
-35.51,17.00
-35.46,18.10
-35.26,16.45
-35.11,18.10
-35.06,17.55
-33.91,20.84
-34.03,17.55
-32.94,21.39
-34.11,19.75
-33.49,20.29
-33.77,19.75
-32.09,20.29
-33.20,19.20
-33.54,18.65
-34.57,21.39
-33.20,21.39
-32.26,20.84
-32.51,21.94
-31.37,23.04
-32.06,21.39
-31.51,22.49
-32.60,22.49
-33.17,23.04
-31.26,20.29
-30.66,22.49
-31.57,22.49
-29.49,20.29
-31.66,20.29
-27.74,21.39
-31.63,23.59
-28.89,21.94
-29.34,21.94
-31.29,22.49
-20.69,18.65
29.77,8.23
27.11,7.13
30.66,7.68
28.66,7.13
26.34,7.68
27.11,7.13
28.54,6.03
25.00,7.68
24.31,7.68
27.09,6.58
26.26,6.58
26.26,7.13
26.06,6.03
25.03,6.58
27.57,6.58
27.11,5.48
26.97,6.58
24.34,4.94
23.80,5.48
24.91,5.48
23.54,4.94
23.11,6.58
22.34,5.48
24.23,5.48
23.20,5.48
22.29,4.94
21.43,4.39
21.29,4.39
22.37,5.48
20.69,4.94
19.63,4.39
19.11,6.03
19.31,5.48
19.29,4.94
19.54,4.94
18.54,6.03
18.83,6.03
16.83,5.48
15.17,6.03
16.91,4.39
16.57,4.94
15.89,4.94
16.00,3.84
14.54,5.48
15.29,4.39
15.23,4.94
11.51,3.84
14.14,3.29
10.40,4.94
12.09,4.39
9.23,2.74
12.77,3.29
9.49,4.39
11.60,4.94
13.11,3.84
-0.63,3.29
-37.97,15.91
-36.49,18.65
-36.54,17.00
-36.06,17.55
-36.23,17.00
-35.37,18.65
-35.63,16.45
-35.40,17.00
-35.00,17.55
-35.91,18.10
-34.20,19.20
-35.09,17.00
-34.20,19.75
-34.46,18.65
-34.63,18.10
-34.14,20.29
-33.69,19.20
-33.89,20.84
-33.26,20.84
-33.97,21.39
-31.94,19.20
-33.17,21.39
-33.29,22.49
-29.91,19.20
-31.91,21.94
-33.63,19.75
-33.06,21.39
-32.60,20.84
-30.29,23.59
-30.14,21.94
-32.51,23.59
-32.37,24.13
-32.29,23.59
-31.29,21.94
-28.94,20.29
-31.80,19.75
-33.06,24.13
-27.74,19.20
-28.17,20.29
-29.83,24.68
-23.20,19.20
31.26,8.78
29.14,6.03
31.49,6.58
30.11,6.58
29.34,7.13
30.83,6.58
27.51,5.48
28.09,6.03
28.03,6.58
27.63,6.58
27.31,6.58
25.29,5.48
28.29,6.58
25.60,6.03
26.40,6.03
26.80,6.03
24.69,5.48
25.00,4.94
25.43,5.48
25.14,4.94
23.26,4.94
24.51,4.94
23.63,5.48
20.09,4.94
25.40,4.94
22.66,4.94
23.23,3.84
21.63,3.84
21.31,6.03
19.77,5.48
19.09,3.29
21.51,3.84
20.94,3.84
18.49,4.39
20.20,4.39
18.63,4.39
18.71,4.39
19.37,4.39
17.69,4.39
17.03,4.94
15.49,4.94
17.51,4.39
17.00,4.94
15.34,3.84
14.91,3.84
14.29,3.84
13.91,4.39
15.03,3.29
15.11,2.74
12.94,4.39
12.37,4.39
14.97,3.29
5.20,4.39
12.23,3.29
11.29,2.19
10.17,1.10
-7.80,6.03
-39.77,18.10
-38.43,18.65
-38.74,19.75
-38.74,18.10
-38.40,18.10
-38.40,18.10
-38.11,18.10
-37.54,18.65
-38.29,16.45
-37.77,18.10
-37.54,20.29
-37.34,19.20
-36.17,18.65
-37.11,21.39
-36.97,21.39
-36.91,22.49
-37.51,19.20
-37.83,21.94
-35.03,21.94
-36.06,20.84
-36.11,20.84
-35.11,22.49
-35.51,25.78
-36.29,22.49
-35.06,21.94
-35.23,21.39
-34.09,21.39
-36.29,20.29
-32.29,21.39
-33.60,24.13
-35.49,22.49
-33.69,24.68
-33.00,25.23
-33.66,21.94
-32.83,21.94
-33.74,22.49
-36.17,23.59
-33.74,22.49
-32.74,22.49
-32.29,23.59
-27.26,24.13
-30.29,25.78
38.80,4.39
35.40,6.03
30.49,6.58
30.80,7.68
30.83,6.58
29.03,7.68
27.54,6.03
25.86,7.13
30.74,5.48
30.00,6.58
27.74,6.58
30.29,6.58
25.91,6.58
28.69,4.94
32.14,6.58
26.80,6.03
27.26,5.48
27.03,5.48
25.54,5.48
26.71,5.48
23.37,5.48
25.46,4.94
23.06,5.48
22.03,4.39
24.14,3.84
22.91,4.94
21.46,4.39
22.89,5.48
23.17,4.94
23.11,4.39
22.20,5.48
20.00,4.39
19.89,4.39
20.31,4.39
20.31,5.48
19.71,4.39
20.20,4.39
20.43,4.94
20.14,4.94
18.66,3.29
18.54,3.84
16.06,4.94
17.46,2.74
16.14,2.74
16.80,5.48
15.80,3.84
15.83,4.39
13.17,4.94
15.51,2.74
15.06,3.29
12.06,3.84
12.49,4.39
13.00,3.84
7.34,4.39
10.69,6.03
13.20,3.29
11.06,4.39
10.40,4.94
0.17,5.48
-39.91,15.91
-38.77,15.36
-38.14,16.45
-38.20,17.55
-38.03,18.10
-37.71,18.65
-39.03,17.55
-38.14,17.55
-36.94,17.00
-37.03,19.20
-37.11,21.39
-37.14,20.29
-37.20,20.29
-36.26,20.29
-35.49,20.29
-35.49,22.49
-35.60,19.20
-36.17,23.04
-37.06,21.94
-34.14,23.04
-34.11,19.20
-34.80,21.94
-35.20,19.20
-34.71,21.94
-35.69,23.04
-34.57,23.04
-34.89,24.68
-34.57,21.94
-29.77,23.04
-31.49,26.33
-33.43,21.94
-33.34,23.59
-34.11,23.04
-33.37,21.94
-32.43,19.75
-34.54,24.68
-32.63,23.04
-32.80,20.84
-33.46,24.68
-35.03,21.39
-27.69,24.13
-28.57,25.23
-30.11,23.59
29.71,11.52
31.17,8.23
33.06,7.68
26.83,7.68
31.51,6.58
29.71,7.13
30.97,6.03
30.69,7.13
27.94,6.58
29.46,6.58
25.80,6.03
29.34,5.48
28.43,4.94
29.71,7.13
26.60,6.03
25.34,4.94
27.23,5.48
27.74,5.48
